Comparacoes: 8 | Tempo: 0.000000s
Comparacoes: 7 | Tempo: 0.000000s
Comparacoes: 10 | Tempo: 0.000000s
Comparacoes: 7 | Tempo: 0.001000s
Comparacoes: 8 | Tempo: 0.001000s
Comparacoes: 10 | Tempo: 0.000000s
Comparacoes: 21 | Tempo: 0.000000s
Comparacoes: 6 | Tempo: 0.008000s
Comparacoes: 91 | Tempo: 0.003000s
Comparacoes: 21 | Tempo: 0.001000s
Comparacoes: 4 | Tempo: 0.000000s
Comparacoes: 87 | Tempo: 0.005000s
Comparacoes: 806 | Tempo: 0.022000s
Comparacoes: 131 | Tempo: 0.004000s
Comparacoes: 1770 | Tempo: 0.016000s
Comparacoes: 10 | Tempo: 0.000000s
Comparacoes: 4950 | Tempo: 0.020000s
Comparacoes: 190 | Tempo: 0.002000s
Comparacoes: 190 | Tempo: 0.010000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 990 | Tempo: 0.015000s
Comparacoes: 10 | Tempo: 0.000000s
Comparacoes: 36 | Tempo: 0.000000s
Comparacoes: 4950 | Tempo: 0.048000s
Comparacoes: 4950 | Tempo: 0.048000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
