Comparacoes: 8 | Tempo: 0.000000s
Comparacoes: 7 | Tempo: 0.000000s
Comparacoes: 10 | Tempo: 0.000000s
Comparacoes: 7 | Tempo: 0.000000s
Comparacoes: 8 | Tempo: 0.000000s
Comparacoes: 10 | Tempo: 0.000000s
Comparacoes: 21 | Tempo: 0.001000s
Comparacoes: 6 | Tempo: 0.000000s
Comparacoes: 91 | Tempo: 0.004000s
Comparacoes: 10 | Tempo: 0.001000s
Comparacoes: 162 | Tempo: 0.008000s
Comparacoes: 79 | Tempo: 0.013000s
Comparacoes: 29 | Tempo: 0.001000s
Comparacoes: 4950 | Tempo: 0.054000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 1225 | Tempo: 0.008000s
Comparacoes: 1225 | Tempo: 0.007000s
Comparacoes: 1225 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.001000s
Comparacoes: 10 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.009000s
Comparacoes: 253 | Tempo: 0.003000s
Comparacoes: 300 | Tempo: 0.008000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
Comparacoes: 66 | Tempo: 0.000000s
Comparacoes: 45 | Tempo: 0.000000s
